movie,review
red_riding_trilogy,"  ""Generally overrated by the critics, this is a moody, uneven and sometimes confusing British noir.  ""Been Waiting Years To Watch This A Great 3 Part Movie...!  ""A Dense Atmospheric Thriller that creates a claustrophobic world built on various layers of crime...  ""Bleak, brutal, brilliant. When we get it right, there""s nothing better."
four_lions,"  ""Boring in spots but it has a point to make and the performances are good.  ""Fantastic, as ever from Chris Morris.  ""it is proper comedy pack. You can sit and laugh till the end"
art_of_the_steal," The filmmakers are only interested in exploring their own opinion, but the documentary is fascinating nonetheless.  ""Incredibly insightful movie about charities, trusts, and the art world ."
harry_potter_and_the_deathly_hallows_part_1," Rating: 7/10. 78/100  ""Come on, this one was so much better than part 2  ""hint: voldemort kills snape"
kisses2008,"  ""Simple plot, captivating story!  ""That was a really sweet one.  ""Puppy love, dysfunctional families, and Christmas night."
north_face,"  ""Mountaineering drama at its best !!!  ""Once you start watching for first few minutes, I bet you would watch through it.  ""Excelente película, muy real y excelentemente ambientada!"
i_am_love,"  ""It has its good moments but, overall, it""s quite uneven and not at all original.  ""Northern Italian aristocrats and their lifestyles of the rich and famous are the focus of this soap opera about an industrial family dynasty and the lives of its members.  ""The final minutes have some life in them, but it’s really rather boring, especially in comparison to the director’s subsequent 2 films.   ""Great acting by Tilda as usual. The dramatic staging at the end  is a bit over handed."
city_island," Funny, comic relief, fast paced  ""the British chick was insufferable  ""Fun and clever. A movie for all people. Enjoy!"
cyrus,"  ""Weird plot, but i enjoyed this romantic comedy, mostly the two leading actors."
catfish,"  ""This movie is so god awful I had to fast forward to just find out the ending and walk away. So stupid. Who cares?  ""This film kept you guessing until the very end.  Try it."
1217700-kick_ass,"  ""Could have used more nicolas cage  ""The greatest segment is the comic relief!!!!"
other_guys,"  ""Twisted humour to love.  ""One of the funniest movies I have seen  ""Fun watch forgettable movie though"
fair-game-2010,"  ""Powerful story. Great performances. Frustrating because it is true, but also completely engaging.  ""Hour and half of going no where. 30 minutes of something trying to come together. Zzzzz  ""Good movie, most American sheeps should see it, so they can learn how their Bush criminals were and still are. Why aren""t in jail already?"
nowhere_boy,"  ""I LOVED this movie!!!"
mademoiselle_chambon,"  ""Realistic, minimalistic romance that is both subtle and multilayered at the same time...  ""Muy interesante historia sobre el amor y la pasiÃ³n.\nSuper recomendable.  ""Enternecedora historia de amor..."
made_in_dagenham,"  ""Pretty good movie starring sally Hawkins.  ""So in love with Sally Hawkins!  ""Very British story that America now needs to see. I enjoyed it and made my girlfriend watch it"
mesrine_killer_instinct," Great start to a true story this thriller was pretty great and one of the better Gangster movies to come out in recently memory.  ""It begins with the murder of an Algerian, and it continues with the murder of another Algerian after that, it\""s is learned that ""an Arab in the garbage can be a waste, we can put 3 in there"". These are the heroes of France! But how can such a scandal not be prohibited?  ""This is one of those films that you will hate to love the protagonist. I thought Richet""s screenplay is tremendous. But everything happens so fast while you adore Cassel""s superb potrayal of Mesrine.  ""One of the finest gangster films to ever hit the big screen.  Cassel gives an electrifying performance."
disappearance_of_alice_creed," Decent little kidnap thriller with a good ending, even if it is a little slow  and implausible.  ""So many twists and turns. So many hidden motives. Well done.  ""Simple, straightforward thriller: you can take it or leave it."
vision_2010," Surprisingly progressive and regressive.  ""Interesting and stoic film.  ""very interesting and beautiful scenery"
casino_jack_and_the_united_state_of_money," #Plundermonkeys INCORPORATED.  The Republicans are trying to get this type of CORRUPTION going again!!!  ""Despite its leanings and conclusions, this is informative and insightful.  ""Ever wonder how they build the factory that makes the sausages?"
the_good_the_bad_the_weird,"  ""Excellent movie and best movie from any country that year. Must seel  ""This movie is hilarious and entertaining even when you have to read captions  ""Not the best korean movie. But enjoyable.  ""Let""s call it peculiar..."
mesrine_public_enemy_1,"  ""Just as good as Part 1 Killer Instinct  ""The best film I""ve seen in a decade.  ""odlican film,i odlican Vincent!"
cairo_time," Cairo for tourists. Full of topics and characters who do not listen each other, but it is watchable if you want some exotism.  ""Beautiful, shows the beauty of Cairo, has an exquisite plot.  ""Nothing much to take from this movie, it""s very boring."
tiny_furniture-2009,"  ""Very well observed and put together, but just one laugh, and nothing likeable at all to reward you. Only for filmmakers.  ""Early Girls. Later Girls is better, but it""s fun to see the start of it all.  ""Something about Lena Dunham""s work is so honest and beautiful  ""Lena Denham looks pretty with long hair!"
night_catches_us,"  ""A managed movie that""s well acted but would have been better if it were well told  which is the directors fault.  ""Good directorial debut from Hamilton and a good performance from Kerry Washington.  ""Diffuse story; evokes the Seventies well."
disneynature_oceans,"  ""Oceans is one heck of a captivating and gorgeous film.  ""I fell asleep during this."
iron_man_2," Solid, but doesn""t get to the level of the first one. It doesn""t get to the level of most mcu movies honestly.  ""Terrible. One of the worst movies of all time.  ""It""s a fun sequel movie."
mother_and_child,"  ""Great pro-life movie! Adoption not abortion!!  ""Naomi Watts and Britt Robertson are wonderful.  This is a very involved and detailed movie. At 2 hours it is too long.  ""Intense and emotional for me......but probably too slow for others....."
greenberg,"  ""Enjoyable dramatic role from Stiller.  ""It""s a portrayal of mental illness and how broken people can feel.  ""Pretentious. Try hardy. LA centric."
countdown_to_zero,"  ""WOW, this was an eye opener.  ""Fast paced, gripping and all too persuasive.  ""Fascinating, eye opening and terrifying. A must see."
